order_id,courier_id,created_date,address_id,delivery_id
564fd901-1b96-4631-afea-7db8f104317a,212d65de-5699-4916-b0f5-11f6c5a6606e,2026-03-26T04:12:43.233280+00:00,e2c1b422-6fdd-4253-814b-c17c58682cf6,ce9d37ec-18b2-4728-95ea-4922071da434
d6df9fd0-6152-45c9-b2ca-7d28014cd767,,2026-04-06T22:18:42.186213+00:00,1,55e7b896-7d7e-410f-a2ff-8851d1353a8b
639b09aa-02c2-4bdf-9410-2927d6888c72,,2026-04-06T22:19:00.004980+00:00,1,2b2dbd52-472e-4d99-a06c-53fce3402446
28a92592-7c3a-4816-afa5-d71b4a8c0e24,,2026-04-06T22:28:25.983110+00:00,e2c1b422-6fdd-4253-814b-c17c58682cf6,fe6e0306-ae5f-48f6-9400-0d6b7e7a38e9
e8b18dc5-1e50-47f3-a33d-98c25c3acf5b,,2026-04-06T22:30:21.389849+00:00,e2c1b422-6fdd-4253-814b-c17c58682cf6,09a1cde9-d70d-457d-9117-e4e3efdc181d
31f5c8a8-c10e-4c7c-8f6f-a5bc4da4a4dd,,2026-04-06T22:31:51.944916+00:00,e2c1b422-6fdd-4253-814b-c17c58682cf6,f161f239-e815-4823-b7a2-8d2f3a3321b4
2ed1fa08-31b0-4a4d-b708-56638b2e5c1e,,2026-04-04T21:39:01.061636+00:00,e86fa263-462a-41ba-a4de-bec2fe3f9e4f,fb659721-62ed-4f44-9bda-607fe525b5f9
8b0f0170-4e03-47bf-b553-77e25de70674,,2026-04-07T01:42:42.871287+00:00,952dbc2f-2262-4ac3-b80e-1bd2f2133cab,78443f6d-0692-4315-8dbe-b9abac67d8ea
c2afa17c-a31d-4948-a9e1-b00212a8ed19,e5943ba1-550c-4fd3-a769-cc869f2e5bf4,2026-04-07T22:16:18.312360+00:00,ae280449-52ab-4992-aaed-f62107e52ee9,72a065de-121b-4020-9265-a919c2b4580a
af9866be-daf5-4f34-9a59-6e106a75d0f0,e5943ba1-550c-4fd3-a769-cc869f2e5bf4,2026-04-07T22:17:15.958717+00:00,ae280449-52ab-4992-aaed-f62107e52ee9,d6dcb419-c20c-4150-bfa6-a55b96f65913
07231523-6bd9-4754-9c11-23fb5f73831f,e5943ba1-550c-4fd3-a769-cc869f2e5bf4,2026-04-07T22:25:14.100075+00:00,ae280449-52ab-4992-aaed-f62107e52ee9,5afa2e9f-12c2-4e61-a05e-46685240b482
